,Segment,Latitude,Longitude
0,Broadway,13.087441,80.283837
1,CLS,13.083392,80.278913
2,Central Railway Station,13.082007,80.275598
3,Pallavan Illam,13.075026,80.276241
4,Chief Secretariat,13.070005,80.273071
5,TVS Mount Road,13.059068,80.259451
6,Gemini,13.054197,80.249923
7,Sun Theatre,13.049485,80.247439
8,Vani Mahal,13.045062,80.24019799999999
9,Panagal Park,13.04211,80.23301500000001
10,Hindi Prachar Sabha,13.035483,80.23935
11,Venkat Narayana Road,13.035751,80.236672
12,Thiyagaraya Nagar,13.033764,80.230215
17,Pondy Bazaar,13.040516,80.240042
18,Teynampet Signal,13.03715,80.246286
19,Alwarpet,13.035091,80.254397
20,Isaballa Hospital,13.039282,80.261564
21,Vivekanandha College,13.039774,80.26432199999999
22,V.M. Street,13.044522,80.268322
23,Kalyani Hospital,13.043749,80.27248399999999
24,Vivekanandha House,13.049943,80.280501
31,Thousand lights mosque,13.054783,80.254397
32,Royapettai Police Station,13.052316,80.263785
33,Royapettai Hospital,13.053852,80.264246
34,Kasturi Bai Hospital,13.057975,80.27887
37,Pookadai / Pal Hospital,13.088345,80.283338
39,Moore Market,13.081464,80.273296
40,Dasaprakash,13.078914,80.254719
41,Neyveli House,13.078162,80.247016
42,Pachayappan College,13.075387,80.232387
43,Aminjikarai,13.074692,80.21880999999999
44,Anna Nagar Police Station,13.092532,80.218246
50,Albert Theatre,13.075758,80.2643
51,Sterling Road,13.064513,80.24350799999999
52,Loyola College,13.064304,80.23504799999999
53,Liberty,13.05403,80.228278
54,Trustpuram,13.053288,80.223649
55,Vadapalani,13.051093,80.211911
56,Vadapalani Police Station,13.049672,80.211675
65,DMS,13.046588,80.24825
66,Anna Arivalayam,13.042204,80.247467
68,Muniyapillai Chathiram,13.026781,80.23291800000001
69,Saidapet Bus Terminus,13.01959,80.22487199999999
70,Saidapettai Bridge,13.01959,80.224829
71,Saidapettai Court / Chinnamalai,13.013647,80.226524
72,Raj Bhavan / Concord,13.00945,80.227404
73,Chellammal College,13.012879,80.221653
74,SPIC,13.011332,80.21813399999999
75,Guindy Industrial estate,13.007872,80.203693
82,Pattullas Road,13.061733,80.26283000000001
83,Wesley High School,13.057845,80.262852
86,Lloyds Road (PFO),13.050069,80.264161
87,Swagat Hotel,13.049045,80.264558
88,Samskirutha College,13.040338,80.268077
89,Luz,13.037495,80.267615
90,Mandaiveli Post Office,13.029363,80.266548
91,Mandaiveli,13.026687,80.265684
93,Anna Square,13.066519,80.284052
94,Chepauk,13.064199,80.28329000000001
95,Kannagi Silai,13.057469,80.282013
96,Thiruvallikeni,13.057761,80.280286
97,Kalaivanar Arangam,13.066457,80.274568
98,Pudupettai,13.07141,80.264751
99,Office of the commisioner of police,13.074305,80.26239
101,Egmore,13.077263,80.260749
103,Motcham,13.085895,80.25048100000001
104,ESI,13.094568,80.241201
105,Ayanavaram,13.098602,80.2406
106,Sayani,13.097829,80.239742
107,Noor Hotel,13.098477,80.234452
108,Joint Office,13.099584,80.230644
109,Kambar Arangam,13.099187,80.219378
110,ICF,13.100378,80.214937
111,Villivakkam,13.103294,80.20748
113,Thiruvotriyur Bus Stop,13.172324,80.304415
114,Thiruvotriyur Market,13.164447,80.30345
115,Kaladipettai,13.15588,80.301186
116,Cross Road,13.138391,80.294416
117,Tondiarpettai Bus Stand,13.131715,80.29193199999999
118,Cholera Hospital,13.128737,80.29068199999999
119,Pandian Theatre,13.112698,80.281692
123,Vallalar Nagar,13.105561,80.280018
124,Stanley Hospital,13.10437,80.28684100000001
125,High Court,13.085623,80.28903000000001
130,Lady Wellington,13.048553,80.280372
135,Ambattur,13.099689,80.169854
136,Vavin,13.088716,80.169554
137,Collector Nagar,13.087734,80.188479
138,Thirumangalam Signal,13.087107,80.197599
139,12th Main Road thirumangalam,13.085195,80.20291999999999
140,Anna Nagar Rountana,13.084484,80.217941
141,Shenoy Nagar,13.083366,80.225494
142,Kilpauk Garden,13.083496,80.233868
143,Mummy Daddy,13.083564,80.23962399999999
145,Doveton,13.086833,80.257882
146,Samypillai Street,13.090506,80.267937
147,Kannappar Thidal,13.090723,80.269439
149,Agasthiya,13.125185,80.289137
153,Raja Kadai,13.151004,80.299542
154,Thiruvotriyur Police station,13.154026,80.300521
155,KaladiPettai,13.15588,80.301186
156,Theradi,13.160694,80.302624
157,Thiruvotriyur Bus stop,13.172324,80.304415
171,Pattalam Market,13.097808,80.26120999999999
172,P1 Police Station,13.09994,80.259751
173,Peravallur,13.116115,80.23161999999999
176,Collector Office,13.095707,80.292774
177,Clive Battery,13.101152,80.294309
186,Shanthi Colony,13.081025,80.21770500000001
187,Mehta Nagar,13.067768,80.226958
189,College Road,13.06792,80.247638
190,Shastri Bhavan,13.06608,80.247853
191,Valluvar Kottam,13.055608,80.242242
196,CIT Nagar,13.028621,80.23079399999999
200,Madhya Kailash,13.006586,80.246587
201,Adyar Depot,12.998547,80.255953
202,IMPCOPS,12.993424,80.256211
203,Thiruvanmiyur,12.98677,80.259236
206,Moolakothalam,13.103994,80.273666
209,Dasamakan,13.097322,80.259252
224,NSK Nagar,13.07512,80.21616
225,Vaishnava College,13.076071,80.21315600000001
226,CMBT,13.068421,80.20513100000001
227,Nerkundram,13.071536,80.185797
228,Maduravoyal Market,13.064022,80.16797700000001
239,Guindy Railway Station,13.007872,80.203693
240,Asar Ghana,13.003627,80.20089300000001
241,St. Thomas Mount,13.001756,80.19618299999999
242,Old Airport,12.989891,80.17940300000001
243,Meenambakkam Railway Station,12.986138,80.174221
244,Tirisoolam,12.980743,80.165563
245,Pallavaram,12.968647,80.149738
253,Aminjikarai Market,13.078684,80.21770500000001
260,Pal Hospital,13.082039,80.278763
270,Porur,13.034749,80.155948
271,AyyappanThangal Panimanai,13.038092,80.13515600000001
284,Moolakadai,13.128743,80.241584
285,Madhavaram,13.13178,80.236108
286,Kaavangarai,13.170882,80.19916500000001
287,Nallazhagu Polytechnic,13.17903,80.194488
304,Avadi Checkpost,13.1195,80.09648
305,Murugappa Polytechnic,13.125832,80.11892399999999
306,Vaishnavi Kovil,13.130148,80.12549
307,Ambattur OT,13.119689,80.149813
311,Tambaram,12.92723,80.117776
312,Perunkalathur,12.905713,80.095907
313,Padappai,12.887094,80.021464
322,Vanavil,13.041383,80.247268
334,Ragavendra / Kaladipettai,13.162974,80.303342
336,Royapuram Market,13.108132,80.291455
339,Beach Railway Station,13.093941,80.29218399999999
346,Aminjikarai,`,80.21880999999999
355,Puzhal Camp,13.158482,80.203704
356,Sastri Nagar,13.135403,80.216224
357,TVS Signal,13.101812,80.192999
360,MMDA Colony,13.065746,80.210752
361,Thiru Nagar,13.0582,80.21148199999999
363,Udayam / Ashok Pillar,13.034945,80.211815
364,Kasi,13.029415,80.208735
365,Ambal Nagar,13.01844,80.205839
366,CIPET,13.014489,80.204605
371,Ponds Company,12.961924,80.146261
372,ESI Hospital,12.958139,80.144148
373,Kadapery,12.932358,80.123448
374,Erumbuliyur,12.917924,80.108625
376,Raniamman Kovil,12.90048,80.091727
377,Vandalur Gate,12.892762,80.085955
378,Vandalur Zoo,12.879417,80.080075
396,Mylapore Tank,13.033837,80.267884
401,Srinivasapuram,12.975558,80.25880699999999
402,Kottivakkam,12.973153,80.258271
403,Life Valve Centre,12.956728,80.255234
404,Neelangarai,12.94853,80.254537
405,Buhari Hotel,12.940563,80.252949
406,Saibaba Kovil,12.927649,80.251468
407,Chozhamandalam,12.922556,80.251168
408,Enjambakkam,12.917578,80.250653
409,VGP,12.914619,80.25040600000001
410,ISCON,12.905019,80.24899
411,Akkarai,12.902195,80.248754
412,Panayur,12.880546,80.244741
413,Uthandi,12.869292,80.24354
414,Kanathur,12.86695,80.243025
415,Kovalam,12.786734,80.250149
422,Mummy Daddy,13.083651,80.23959
430,Nathamuni,13.103513,80.202051
431,SIDCO,13.103273,80.199219
432,Mannur Pettai,13.098142,80.176163
434,Dunlop,13.104464,80.153471
435,Ambedkar Silai,13.104433,80.153471
437,Manigandapuram,13.130511,80.1363
440,Kaavalar Payichi Maiyam,13.12112,80.10797
441,Avadi,13.119762,80.10213399999999
443,Pattabiram,13.120817,80.065269
444,Hindu College,13.119166,80.073981
455,Golden Flats,13.088089,80.178952
476,Ennore,13.215631,80.320787
482,Parry's Corner,13.088769,80.290419
484,War Memorial,13.073438,80.286005
489,Santhome Church,13.038039,80.28019
490,Employment Office,13.033163,80.27736800000001
491,Pattinapakkam,13.024732,80.274675
492,Music College,13.01891,80.262905
493,Gandhi Nagar,13.006628,80.25313100000001
495,CLRI,13.00692,80.241523
496,Anna University,13.008614,80.231738
498,Check Post/Race Course Junction,12.997366,80.216503
499,Guru Nanak College,12.991365,80.219786
500,Thandeeswaram,12.984256,80.22264
501,Velachery,12.976415,80.221717
502,Velachery railway station,12.970706,80.218949
503,Kaiveli,12.963785,80.21594499999999
504,Dr Kamakshi Hospital,12.948499,80.20998
505,Narayanapuram,12.93992,80.205597
506,Pallikaranai,12.934372,80.204052
507,Pallikaranai Oil Mill,12.929165,80.202625
508,Medavakkam,12.917202,80.19311400000001
509,Medavakkam Road Junction,12.920214,80.184124
510,Santhoshyam Puram,12.91967,80.171233
