,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Broadway,13.087441,80.283837,Gujarati Mandal,13.089637429477216,80.28577048051714,Indian Restaurant
1,Broadway,13.087441,80.283837,Parrys,13.088421590690437,80.28328322474236,Market
2,Broadway,13.087441,80.283837,Hotel Saravana Bhavan,13.088696990502287,80.28479626867065,Indian Restaurant
3,Broadway,13.087441,80.283837,gopal dairy,13.088501799417518,80.2851010512575,Snack Place
4,Broadway,13.087441,80.283837,Murugan Idli Shop,13.088824190710326,80.28784232861653,Asian Restaurant
5,Broadway,13.087441,80.283837,Chennai Fort Railway Station,13.083361589357452,80.28304919034562,Train Station
6,CLS,13.083392,80.278913,Higginbothams,13.08318961077487,80.27516784004308,Bookstore
7,CLS,13.083392,80.278913,French Loaf,13.083778760487695,80.2752549307981,Sandwich Place
8,CLS,13.083392,80.278913,Hotel Saravana Bhavan,13.082935395914943,80.27503183122415,Vegetarian / Vegan Restaurant
9,CLS,13.083392,80.278913,Chennai Central Station,13.082762183168839,80.27490112404834,Train Station
10,CLS,13.083392,80.278913,M.A.Ethirajulu Naidu,13.085512915303365,80.27955269868511,Furniture / Home Store
11,CLS,13.083392,80.278913,MINTBAZAR,13.08586312834893,80.27842788095454,Outlet Store
12,CLS,13.083392,80.278913,Central Bus Stand,13.081912004383135,80.27531480564019,Bus Station
13,CLS,13.083392,80.278913,Hotel ShivaSagar,13.085350422131853,80.27541278256314,Indian Restaurant
14,CLS,13.083392,80.278913,Chennai Fort Railway Station,13.083361589357452,80.28304919034562,Train Station
15,CLS,13.083392,80.278913,New Prakash Bhavan,13.08749250786985,80.27930999482923,Indian Restaurant
16,CLS,13.083392,80.278913,City Tower Hotel Chennai,13.081502797863267,80.27501543100615,Hotel
17,CLS,13.083392,80.278913,Dindigul Thalappakatti,13.082800174331702,80.27455820224861,Indian Restaurant
18,Central Railway Station,13.082007,80.275598,Higginbothams,13.08318961077487,80.27516784004308,Bookstore
19,Central Railway Station,13.082007,80.275598,French Loaf,13.083778760487695,80.2752549307981,Sandwich Place
20,Central Railway Station,13.082007,80.275598,Hotel Buhari,13.081525548560517,80.27428604106164,Indian Restaurant
21,Central Railway Station,13.082007,80.275598,Pasha,13.080774135669952,80.27289390563965,Nightclub
22,Central Railway Station,13.082007,80.275598,Hotel Saravana Bhavan,13.082935395914943,80.27503183122415,Vegetarian / Vegan Restaurant
23,Central Railway Station,13.082007,80.275598,Chennai Central Station,13.082762183168839,80.27490112404834,Train Station
24,Central Railway Station,13.082007,80.275598,Hotel Anjappar,13.081013085014915,80.27463440721307,Indian Restaurant
25,Central Railway Station,13.082007,80.275598,Central Bus Stand,13.081912004383135,80.27531480564019,Bus Station
26,Central Railway Station,13.082007,80.275598,Dindigul Thalappakatti,13.082800174331702,80.27455820224861,Indian Restaurant
27,Central Railway Station,13.082007,80.275598,City Tower Hotel Chennai,13.081502797863267,80.27501543100615,Hotel
28,Central Railway Station,13.082007,80.275598,Moore Market,13.082200206058852,80.27289256231535,Bookstore
29,Central Railway Station,13.082007,80.275598,Chennai Park Town MRTS,13.07957900937133,80.27548354360363,Train Station
30,Central Railway Station,13.082007,80.275598,Park Town,13.079438951644432,80.2759298811107,Train Station
31,Central Railway Station,13.082007,80.275598,Central Metro,13.080316,80.272766,Metro Station
